fips,,id,YEAR,SEASON,MONTH,STATE,COUNTY,LOCATION DETAILS,NEAREST TOWN,NEAREST ROAD,OBSERVED,ALSO NOTICED,OTHER WITNESSES,OTHER STORIES,TIME AND CONDITIONS,ENVIRONMENT,DATE
53031,2280,11040,2004,Fall,October,WA,Jefferson County,[Details removed],[Between Aberdeen and Forks],Mountain road off of Highway 101,"This happened during the October 2004 Washington BFRO Expedition on the Olympic Penninsula.    It was the first night of the expedition and my brother and I had been asked (as well as two other team members) to go to a location that had a recent sighting reported by [a local law enforcement officer].    The objective for the night was to walk a portion of the mountain road while making occasional wood knocks with hopes of attracting a sasquatch.  By the time we arrived at the location and prepared all of our gear it had become completely dark.  We started walking down the mountain road.  After about 5 minutes of walking we heard two short grunting sounds that came from the woods to our left (south of the road).  The grunting noises were very deep sounding, had some power behind them.    There were a few moments of silence and blank stares between us. We continued down the road, wondering if the thing would make more noise. We continued doing wood knocks as we walked.  A few hours passed as we continued to walk up and down the 3/4 mile stretch of the road, knocking every 20-30 minutes.  Then we were contacted by radio from another team that was positioned approximately 3-5 miles from us along the banks of [a river].    The river team had apparently been hearing wood knocks coming from somewhere between their location and our location. They wanted to check if it was our wood knocks they were hearing.   To see whether the river team could hear our wood knocks, we made some loud knocks and asked if the river team could hear us.  The river team asked us to repeat the knocks a few times. After a few tries they said they were not able to hear our knocks at all, so whatever they were hearing was closer to them.    We continued back up the road.  Not longer after climbing back up the road we heard what I could only describe as a scream that came from the southwest of us, approximately 250 - 300 yards in the woods.    The ""scream"" started as a low, deep moan and went into a very high pitched screech lasting at least a few seconds.  It was very unlike anything we had ever heard. We were shocked because we had hunted in the Pacific Northwest for years and knew every kind of large animal sound.  Several minutes of silence went by and we decided to proceed up the road further to where the truck was parked.  After reaching the truck we unloaded some of our equipment. We were ready to start heading back down the road again when we heard the second scream.  This time the scream was much closer, within 50 yards of us and on the opposite side of the road from the first scream.  The scream again started as a low moan and reached a very high pitched screech.  The volume and power of the scream was amazing, it made every hair stand on end.  The scream probably lasted a few seconds, but was so loud that I was expecting this animal to come through the trees at any moment.    All four stood there in complete shock at what we had just heard.  We eventually gathered ourselves and continued walking up and down the road for a period of time, wondering what was going to happen next. Nothing further happened that evening.  My brother and I are experienced outdoorsmen.  We have spent most of our lives in the woods in and around the Pacific Northwest.  We both are very familiar with the calls and sounds of all of the known animal species in the area, especially elk, deer and bear.  The screams we experienced were not any animal that either of us, or any of the others in our team, had ever heard before.  If any of us had heard something like this before we sure would not have forgotten it. We'll definitely remember what we heard on this trip.","The road was gravel so there was no way to distinguish the track impressions.   Off the road there is thick rainforest brush and deadfall longs.  The brush is threaded with big game trails. The animals trails are covered with piles of leaf litter, sticks, etc. Most of the animal track impressions are impossible to tell apart most of the time.   As we saw in many places on the Olympic pennisula, there were plenty of game trails showing heavy traffic of large animals: Probably a mixture of elk, deer, bears, mountain lions, and whatever else lives up there.  ","There were four of us in the group including my brother Jason Lawrence, Jamie Jackson, and Clifton Barnes.  We were all four together walking the road.","As we found out on the expedition, there were many other incidents from this area.",This occured over the course of several hours.  We got there just as it was becoming dark and we left the area between 11:00 - 12:00 that night.  It was a very dark.  There were a few clouds in the sky. It had rained a little earlier in the evening and it was cold.,"Olympic Rain forest.  The woods are very thick with pine,cedars etc..  We were only a couple of miles away from the beach. ",21st
53067,2285,11137,2005,Spring,April,WA,Thurston County,nope ,Oakville Wa,***,This is how it all started i was walking home from my boyfriends house i would have to walk [past a] creak it was about 10:00 p.m. something kept throwning stuff at me like sticks and rocks i would turn around and look but i could not see anything then i would have to go across a Bridge it would not stop follow[ing] me it would hide when cars go by it had this really bad smell to it i did[n't] like the smell so i started running i knew it was a something so i just ran [and] stood on the bridge [and] it ran when i ran then it ran into the bushes and started throwing sticks and rocks on the bridge where i was i could[n't] see it really good but it was the scarys thing in my life ,i found footprints in the sand the next day,just me nobody else ,yes just about my sister was in the car and it started [chasing] at her ,it was doing the night ,bridge and lots of trees were i live ,
53051,2291,11186,2002,Spring,April,WA,Pend Oreille County,,Metaline Falls,,"  My buddy Terry and I decided to head up for a weekend at Sullivan Lake, to do some fishing, and to just get away from it all.  We got to our spot on the lake, a little spot away from the campgrounds on the south end of the lake.   It was a few hours before the sun went down. We had plenty of time to set up a tent and to cook a nice dinner.  After we had put out the fire, we both got in our sleeping bags and dozed off.  I dont know how long we were out, but some time later in the night, Terry and I were both woken up by some large crash that sounded maybe 100 or so yards away.    When we opened up the tent and got out to investigate, we both looked at eachother and asked eachother, do you smell that?  Something in the air smelled musty, almost rotten.  We both had our flashlights handy, but because of the trees that surrounded us, it was hard to see anything very far away.  We both called out to see if any person was in the area, which there shouldnt have been, with how far away from the campground we were.    After about 5 minutes of just scanning we figured it was nothing of importance and decided to just forget it.  Almost the instant we got inside the tent we heard an even louder crash that sounded like it was only 10 to 15 yards away from our site.  Terry and I both frantically searched for anything we could find to protect ourselves from whatever was outside. The best we could do was to pull out our pocket knives.    I heard something like a grunt coming from the side opposite of the door of the tent, so I shined my flashlight out of the mesh window and I saw something.  Just past the clearing of our site, I could make out a tall shape and some gray fur, on something that stood maybe 7 to 9 feet tall.  Maybe the flashlight scared it, or maybe it just wanted to investigate, but as soon as i turned my flashlight on it, it ran fast through the woods. Before i could walk out the door to shine my light on it and see it better, it was already gone.  Terry stood outside of the tent, and was shaking when i first saw him in the light.  We both decided to spend the rest of the night in my truck, and lock the doors.  We spent the next day fishing, but didnt want to have another night like the one before, so we packed up and left.  ",,,,"night, very dark night",,
53007,2299,11313,2005,Spring,April,WA,Chelan County,about 3.3 Miles up the Ingersol Road.  N 47 15.824 W 120 13.426,Malaga ,Ingersol Road,"While Turkey Hunting in the Ingersol (Colockum Wildlife Area in Central WA.)on 4-15-05 I came across some fecies with a diameter of about 2"". Which at the time I thought to myself it must be a Huge Bear. The following day 4-16-05 I walked about a mile down a fire guard road above where I had seen the fecies. The fog was coming in and I had not seen any Turkeys so I turned around and headed for the truck. The Fog was getting thick and I could only see about 35 yards.About halfway to the truck the wind changed and was blowing down the hill. I smelt this awful musty skunky smell and the hair on the back of my neck stood up. I quickly turned facing the smell with my shotgun slung but I did not see or hear anything.Again I could only see about 35 yards because of the Fog.At this moment I felt it was the smell of a Sasquatch. Then I got to thinking about the Fecies and told myself it must be a Bear. That evening I called my Nephew because he was going Hunting with me Sunday 4-17-05. I told him their must be a Large Bear in the area because I saw the fecies on Friday and on Saturday I had smelled him.Sunday mourning we arived at Daylight where I had seen 5 Turkeys the day before.We got all of our gear ready and hiked about 300 yards up the hill. I took out my Turkey Box Call and started Yelping with it.A Howl started below us about 150 yards a Coyote that turned into a Wolf that turned into a roaring blood curling sceam! I am 47 Years old and have Hunted the Cascade Mt.Range all of my life! I have NEVER heard anything like it in my entire life. My nephew turned and looked at me He's 16 and said what is that? I looked him strait in the eye and said it is a Sasquatch. The Length and the Volume and the Depth of the Howl could not be duplicated by a human being.I asked my Nephew if his gun was loaded and if he wanted to try to get a look at it? He said yes.We moved a little closer toward the scream but did not see anything. It was in scatered Pine Trees.We headed back up the ridge and West aways and stopped. Again I took out my Turkey Box Call and started yellping. Again about 400 yards up the canyon we heard a Deep Long Howl. The creature was making his way up the draw at a high rate of speed.I yelped on the Turkey Call again and he Howled again!!!He was moving away into thicker Timber this time he was 500 to 600 yards away and we never heard him again.",None,"One, We were Turkey Hunting",No,06:45 Am Sunlight no clouds,Scattered Pine Tree's and Grassy Meadows,17
53007,2321,11554,2004,Summer,August,WA,Chelan County,"Our cabin boarders National Forest.  If you head over Steven's Pass until Cole's Corner and turn left towards Lake Wenatchee/Fish Lake, our place is off of Conard Road.  The sound was coming from Nason Ridge, above us and it sounded far away.  When I went to your website and played the calls, it sounded just like that so I thought I would log this in.  I guess you can post this on the web, but not my name because I have friends who might think I'm nuts if they see this.  You should really try and contact my neighbor who heard lots of noise one night which really freaked him out.  He is an elk hunter and such.  Although I am not a hunter, I have spent lots of time outside and have heard cougars and bears and stuff, and this was not that.","Plaine, Wa","Lake Wentachee Hwy, and Rt 2","I'm sorry to say I don't have a very exciting report.  Last summer when I was out at our cabin with our boys, I heard this really weird ""yelling"" from the ridge in back of our house.  Our cabin boarders the National Forest, so it gets pretty dense back there.  It was very late at night, and I was alone with the kids that night so I didn't tell them (I didn't want to spook them).  At first I thought it was some teenagers partying up on the forest service road, but that would be impossible to hear, really, and it wasn't like that at all. The ""yells"" went on for a long time. They sounded, perhaps, 1/2 mile away? I was actually pretty scared.  There are quite a few houses up at our place, but almost noone is there but me and boys on week days. Also, a few weeks before my neighbor who is a hunter and such heard ""screaming"" from closer in to his place.  Just thought I'd let you know.",Nothing,Just me,See above.  I told my neighbor about your website and am hoping he'll contact you.,"I was in my bed.  I know it wasn't raining, but can't recall the exact weather.  It was early in the morning, I think, around 3am? ",Very thick forest with lots of downed timber from logging 30 or so years ago.,11
53077,2335,11702,2001,Summer,August,WA,Yakima County,"Go past bumping road and head up the dirt trail, anytime the road forks go right.  The trail will dead head and park you car.  Get out find the trail sign that says Twin Sister and follow it.  I can't remember how far it is exactly but it is between 1 and 1.25 miles in, very steep climb.",Naches,bumping road,"First off I am not a true beliver in BigFoot.  I was messing around on the internet and stumbled apon your site.  I thought it would be funny to see what sightings have happend around my home city of Yakima Washington.  When I clicked on the report form of the July 2000 (class B) hearing sound around bumping lake, I got the chills.  Let me start from the begining.  Myself and a couple of buddies of mine took off from Yakima really late with the intent of climbing the trail and spending 3 days of camping at Twin Sisters. We were going to stay at the first lake (Or First Sister).  The lake is about 8 or 9 miles past bumping lake and you have to hike in about 1-1.25 miles straight up.    When we arrived at the lake after taking way to long to climb the trail (Over confident and over packed) we set up came and got the fire going by 12:30am-1:00am.  We were exhausted and really didn't feel like drinking or anything else but eating and going to bed.  About two hours after going to bed I was awoken by some little grunting sounds.  I woke up kind of starteld but then realized they were basically a quarter the way around the lake so I just sat and listened.  All of a sudden they turned from little gruntings to a grunt/scream.  I quietly called out my friends Shawns name and he had been woken up and was listening to.  I asked him what the hell that was and after talking about it we both convinced ourselves that it was an elk or something.  I am not an animal call expert by any means but to this day when I think about that trip one of the first things I think about is how weird that sounded.  I have heard elk and deer grunts before but this sounded different.  As Ron White would say ""I told you that story so I could tell you this one."" On the last night I slow cooked some stakes over the fire coals for about.  When they were done my friends and I were enjoying them when were heard something about 60 or 70 yards out from camp.  We were camped out below the rocky base of the mountain top.  Its like the dirt stops and the rocks go up the rest of the way.  The sound was coming from the rocky area but we all thought it was a cat or bear so we got up grabbed the guns and an axe and started out with a lantern to go see what the hell was out there.  The sound was like what a rock being thrown and hitting the other rocks and then coming to rest.  It didn't sound like a little rock slide and it happen several times until we got closer, infact we had barehanded our stakes and finished them while we were away from camp as close to the sounds as we could get without climbing the rocky face, they completely stopped.  At no time did we every think it was bigfoot but we couldn't figure out what would make a sound like that?  It didn't sound like an animal that was mearly passing by, it moved to quick and to speratic(as if someone was throwing at different targets.  The only reason I look back on it now is that I was watching a bigfoot special today on the history channel and they had a gentlemen on there saying bigfoot was throwing rocks at him.  And now looking back I could definatley see how someone or something throwing a rock down twords us could make that sound.  Were the activity was would be the exact place I would be if I wanted to mess with my buddies back at camp.  We always talk about those noises and never ever gave bigfoot a chance of being the sorce of the sounds and now I just don't know.  After all this time of not even considering it now that I think of that as a possiblity it makes more and more sence even though I don't truely believe in Bigfoot.  ",No ,Yes my two friends Shawn K. and Chris. Z.,Just from your web site ,"After night fall on both times, around 50 degrees.","Thick forest, very clean up there because it is so hard to get to.  The lake is about a half mile walk all the way around so it is not that big of a lake. ",8
53035,2354,11918,2000,Fall,September,WA,Kitsap County,Past Kountry Kornor on the back road to Suquamish.,"Kingston, Washington",Included in report..,"I saw [a] bigfoot about five years ago on the Kitsap Penninsula in Washington State.  I was between Kingston and Hansville. I was giving a friend of mine a ride home and it was very late at night. We had just past ""Kountry Kornor"" and as we approached what the locals call Maple Tree Cornor we saw a huge animal that neither of us could identify.  It was standing on one side of the road and as we approached, it started crossing to the other side.  It stopped for a moment and looked right at us.  It seemed to be a little stunned by the headlights. Then it ran across the street and jumped down a very steep ravine.  There is a streetlight on that cornor so I was able to see it very clearly.  It appeared to be about six to seven feet tall.  It's hair was light in color...almost gray.  The hair hanging down from the underside of it's arms was very long.    I know it sounds silly, but I had two very distinct impressions as I looked at this creature...that it was female and that it was sad. You know I take back what I said about not being able to identify it...the second I saw it I knew exactly what it was.  As we approached the spot where it had jumped into the woods I slowed down to see if it was still there.  The man that I was with was completely panicked...he yelled at me to speed up and get out of there.  He and I only talked about it once after that...he seemed to be completly unsettled by the experience.  I was more curious than afraid.  I did not get the impression we were in any danger.  I hope than one day I will see [a] bigfoot again. ",My companion was a Navy Seal so I was very surprised that he was so frightened.  ,There were two of us.  He had been working on his vechicle which had broken down near my house (in Hansville). When he couldn't fix it he came to my house and asked for a ride home.,"Yes, there have been several reports in that area. My mother said she and a friend on a morning walk saw something similar to what I saw.  This was on what the locals called ""roller coaster road"".  I believe the road name was Seatter(?).  It was near Kingston  out towards Jefferson Beach.",About 2a.m The weather was clear and dry and was well lit.,"As we approached  the cornor, Kountry Kornor was behind us. Kingston was to the left. To the right (where it exited the road) was a very steep ravine and very wooded.",I'm not sure.
53053,2356,11930,1971,Winter,March,WA,Pierce County,This occurred in 1971 so if you could locate the barricks area of Company E 4th Battalion 2nd Brigade. You will find the location.,Ft.Lewis,unknown,"Read report 3281. I had basic training at Ft.Lewis,Wa. I was there from Jan. 71 to May 71. I was assigned to Company E 4th Battalion 2nd Brigade. That is were my barrick was. Between the barricks was an open field 100 yds or more wide. On the other side of the field the outline of the forest trees began and after them more trees and more trees. Anyway it was winter and it had snow. The area was covered in snow. It was a cold clear night. There was a full moon which illuminated the night sky. I can't recall what month it was. I was assigned guard duty of our barricks area. My shift was the early mouring hours (After midnight). I was to walk for two hours patrolling our company area.You could hear the crunching of the snow under my boots as I walk. As I was walking towards the last barrick, I was facing the open field. I saw something at the distance in front of were the forest trees began. It was walking towards me and then it would stop. Where it stood, I looked to the right side of the area and to the left side of the area and saw only this thing in front of me. It started to move again towards me.I saw a silhoutte of a figure it was all black. When it walk it was swaying back and fourth. Scared, I turned around and walked towards my barrick and went inside and told no one about what I saw. A day or two later I think it was in the Seattle times newspaper there were photos taken of bigfoot prints in the snow near a fence at a ranch in the area. I wonder if this is what I saw that night? ",Come to think of it the figure I saw looked like the thing on the DVD cover 'The Legend Of Boggy Creek'. It was swaying back and forth as it walk. That is the silhouette I saw a black figure walking towards me.,None,The newspaper article I mentioned here. Also the report listed on your website.,Early morning (after midnight) Maybe between 1AM and 3AM. Clear winter night. Full moon.,The barricks.The open field covered wit snow.At the end of the field alot of pine forest.,
53031,2376,12098,2005,Spring,June,WA,Jefferson County,The Spruce Trail from the Hoh Visitors center.,Forks,101,"We were on the Spruce Trail in the Hoh Rainforest when we came across this track (I attached the picture). To provide some size reference I put my foot next to the track. My boot is a size 11.5 (wide). It's a Vasque boot and I'm sure the dimensions are available online. Anyways, my boot was slightly smaller than the track (maybe 1/2 inch). The trail was full of Elk tracks as well. Adult Elk and baby Elk tracks were present everywhere and signs were posted about the Elk. There are many game trails that crisscross these hiking trails.   Later on we continued on the trail and we came across another foot print that was slightly smaller but it had been stepped on by someone and it was only a partial print.  Here are some details I gathered from my observation that day.   The track in the picture appeared to be about two days old in my opinion. I weigh 210 lbs, I'm 6""1 and my boot size is a size 11.5 (wide). The track had to be an inch and a half deep. I stood on one leg and pushed very hard and I didn't leave nearly (maybe a 1/4 inch) as deap of a track. Granted the moisture level may have changed in the mud causing more resistance. Also noted was the outer edge of the print and how much mud had been displaced. I also saw sharp nail marks on the toes and some say they can see it in the photo I attached. I noticed them because earlier in the day I saw a cougar track at another location and the nail marks seemed similar. I can tell by the way the toes are slanted, the depth, and the arch that this is likely not a fake print. I couldn't see any dermal ridges in the track.",I took a photo of the footprint next to my foot.,"6 people, including myself. We were on a day hike. We had all finished lunch an hour or so earlier.",Yes. I spoke with a fellow fisherman who hunted an area nearby many years ago and he told me a story of when he and his father came across a set of tracks.,It was @ 4:30 pm. Slightly overcast,"The HOH Rainforest. It was slightly muddy, but relatively dry. There were many Elk tracks and game trails that were near the track.",21
53033,2379,12138,2002,Spring,May,WA,King County,the white river is glacier runoff surounded by pine trees,auburn,,"My encounter took place along the white river,we were out hiking, the sun had gone down and we began hiking back under the moonlight, which had illuminated the trails nicely. As we walked down the trails through the woods I occationally heard the sounds of twigs and branches breaking as if somthing was moving through the trees and bushes about 10-15 feet off the side of the trail. I became greatly alarmed because whatever was creating the disturbance had been following us for quite a distance  as i began paying more attention to the sounds of branches breaking i could hear that they were footstepts, just like the ones a human would make walking through the brush, i knew in my heart that it was a bipeadal creature at that point. still, we kept going but now i began to feel little bits of sticks and pebbles being thrown at me, as i turned my head to look behind me i saw a piece of stick come flying right at me from the bushes. at that same point my friend also turned and yelled at me to stop throwing stuff at him, i told him it was not me and i told him that whatever was throwning stuff was just beyond our sight off the side of the trail. we were all very scared. we stopped to rest along the river bank near the end of the trail, as we sat quietly i heard a low bass toned growl. judging from the sound it had to be a large creature, possibly a bear, but is a bear capable of walking on two feet for such an incredible distace and is a bear able to throw bits of sticks and pebbles with its paw? its from these facts that i belive we were stalked by a bigfoot.",a dead deer was near when it all began,3  just walking,,"1am clear skiies,full moon",,
53033,2412,12510,2005,Summer,August,WA,King County,"Forested campsite  Scenic, WA.",Skykomish,Hwy 2,"Observation: vocalizations.  Hello, I am now 48, and my dad was a telegrapher during the 1960's at the former depot at Scenic.  I used to greatly enjoy spending a week at a time at Scenic with him while he was on duty, staying in his trailer near the depot, and it was a wonderful place for a young railroad enthusiast to grow up.  In later years I started an annual tradition of camping at Scenic and spending several days picking huckleberries on Tonga Ridge.  On August 24, I had finished picking berries for the day and had returned to Scenic to a little, mostly forgotten camping spot just inside the edge of a dark old-growth forest.  The southern hillside becomes somewhat steep a short distance away.  It was dusk, I was setting up to cook some dinner, and had my Coleman light burning.  A few minutes before this, two or more men in two BNSF vehicles had parked next to the tracks waiting for an eastbound freight to arrive which was having engine trouble coming up the hill (knew this from my scanner).  I could hear them talking in their vehicles.  Suddenly, from what seemed to come from up above the hillside, there was a bizarre two-second-long very loud ascending-frequency swooping cry.  I have perfect pitch so I can tell you it started around 500 Hz and went up to about 800 Hz.  This was followed by  three or four bizarre shrieks of some sort, a little higher, which almost sounded like some kind of goofy laughter, but...  I had not read anything seriously about Sasquatch for many years, and had not then ever heard a recording of one, so these sounds did not make any sense.  The only possibility, I thought, was that some practical joker was up there, had seen my camplight, and was trying to spook me.  But there were no other vehicles that I knew of, and there was no reason for anyone to BE up there on that hillside above a forgotten campground.  The intensity of the calls did not make sense, either.  I doubt if a human could have made a call that loud.  I went about my business, but as I sat there eating dinner with the light burning I had this very odd feeling that something was watching me.  (I know how silly this all sounds.)  I slept in the car as planned (doors locked).  Next night, camped near the Cascade Tunnel west portal.  On the night of the 26th, camped at the first location again.  Heard nothing, but had that same creepy feeling that something up above was watching everything.  I thought about walking up that hillside to a familiar old waterfall on Surprise Creek, but something told me, ""Not this time.""    As a Christian, I do believe in angelic protection, but after reading dozens of encounter stories in the last couple days, and reading Judy Walter's story from 1970 just tonight, and hearing the audio clips, I don't feel at ease about camping there anymore, unless I do it at the other side of the tracks under the night lights!  The difference between what I heard and most of the audio files I have heard: the latter have sounded mostly like ghastly shrieks out of some horror movie.  This was more of a pure tone at first, then the following sounds had other frequencies mixed in.  A very intense sound.  I have a question about animal scat.  While picking berries on Tonga Ridge on the 27th, I walked about a thousand feet northwest of the road where people never go, through the trees and brush, looking for a better berry spot, and saw a pile of what I thought was bear scat in an open place.  Now I'm not so sure that's what it was.  It looked similar to human, but about two inches diameter; broken in many segments; well defined, as though not having a high moisture content when deposited, and was black & grey with much fiber content; probably several days old.  I note this because you have another story in this collection about someone seeing the creature on a Foss River forest road, which is the one I go up to get to Tonga Ridge, on F.S. 6830.  I'm also wondering now if those skunky smells I encounter now and then while driving across the mountains late at night are always skunk.  ???",,"As mentioned, BNSF employees at the track, but it is unknown if they heard it; I think they were sitting in trucks at the time.",Report # 2602.,"After sunset, not totally dark.  Clear sky, temperature upper 50's.","Dark, old growth forest.  Most trees very large and not too thick, so one could see events down below from a distance.",24
53041,2414,12523,2005,Summer,September,WA,Lewis County,[Information removed at request of witness.],Battleground (I think),Sunset Falls,"Labor Day, 2005, late, late Sunday evening or very early Monday morning. We were camping on the edge of Gifford Pinchot National Forest where some friends keep there horses tied up to ride the Tarbell Trail. I am uncertain of the exact location but could find out if you need me to.   There are about 6 campsites and there were about 10 horses with us. We left to go on a night hike and followed a trail down the river, very far down the river where we found a great dark spot in thick foliage to sit and have a beer and watch the stars and throw rocks into the river. As we were leaving we could here what sounded like something following us. We all had lights but could not see anything at all. When we made it back to camp we sat in a nearby clearing and watched the stars some more.   The ladies who were at the camp reported someone throwing rocks near them and could here brush being moved around. They ignored it thinking that it was just us guys playing around. We headed back to the tents around 1am and went to bed. Before any of us were asleep that night we heard a screech or scream a few times. We all heard it. Later that morning around 3am we heard it again and it sounded farther off.  All of this sounded as if it were coming from the area were we were by the river that night.   Before the sunrise that morning my girlfriend was awoken by a growl that sounded very close to the tent.   I just made it home from our trip and listened to the recordings on your site and I can tell you what we heard was the same sound you have on your recordings. I have always belived that they existed however, I will be thinking twice about midnight hikes around Gifford Pinchot from now on. I have heard and read many similar stories and always joked about it. ""Hey! Maybe this time we will see the sasquatch, har har har...""  Well we got to hear it and it was freaky. Keep up the great site, I will now be visiting it on a regular basis. Take care. ",No.,4 total.  3 on the hike and 4 in the tent that heard the noises and two that heard the growl. ,No.,Between 1am and 3am,Pine forest with a nearby creek or river.,5
53027,2420,12594,2005,Summer,August,WA,Grays Harbor County,On beach in front of Mariner Village (condos) about 1/4 to 1/3 mile north of the north jetty,Ocean Shores,Ocean Shores Blvd.,"I've been debating whether to report this to you guys for about a month. Sorry for the delay but what I saw doesn't seem explainable other than a sasquatch.   I was staying at a place called Mariner Village about 5 miles south of Ocean Shores. It's about 1/4 mile from the north jetty at Browns Pt.   The time is about 1:30am (I knew this because I had just left my room at 1:20 am to return to my fire on the beach). My back was to the ocean watching the fire. I turned to look at the ocean (which was about 30 yards away) and saw what I thought was a person walking south along the water line down the beach. The moon was full and when I first saw it, it was directly west of me.   What I could see was a dark figure from about mid-torso up because the beach slopes down quite a bit in that area. It appeared to be just a person out for a late night/early morning stroll on the beach.   So I decide to follow them, maybe go talk to them and start walking at an angle down the beach to cut them off. Seeing that I wasn't catching up to them I start running down the beach still at an angle in there direction.   It was hard to make out detail while running so I stopped to get a better look. That's when I realized the following, with the full moonlight I could see only it's upper body and it was all black, it had no neck, looked like it was wearing a hooded sweatshirt. I start running again as fast as I could.   This thing was fast, it must have covered the 1/4 mile from where I first saw it down to about 50 yards from the jetty in about a minute and a half. I stop running and I could see it way down the beach about 200 yards away. It stopped about 50 yards from the jetty turned and faced the ocean. It was at an area on the beach that I saw it's feet turn towards the incoming waves.   It's movements seemed very unnatural and overexagerated. When it turned towards the ocean it flexed it's back like it was leaning backwards. It seemed like it was looking back to see where I was.   I know it saw me standing by the fire, I had a white t-shirt on and a shaved head, and probably saw me go after it, that's why it got down the beach so fast. It moved off and when it got near the shadow of the jetty I lost sight of it. That's when I decided to turn around and go back.   Tried to find tracks but it was moving along the water line at high tide, the waves would have covered them up. The next day I took my friend told him to go stand down by the water and stood in the spot I first saw it, I could barely see the top of his head.   Like I said I didn't report this for awhile because it's hard to fathom this happening in such a populated area. But considering the surrounding area, Oyhut State Game Refuge is very close and only 6 miles away is thick forested area to the north,one of these creatures could travel that distance easily in the cover of darkness.   Once it got to that jetty it leads to the game refuge. If you have the book ""Meet The Sasquatch"" on page 213 that's the shape of what it looked like when I first saw it.",no,Only me,no,Early sunday morning (1:30) mostly clear full moon,"Ocean beach, sloping beach when you get close to the water",21
53053,2429,12655,2005,Spring,April,WA,Pierce County,"Hwy 7 past Ashford, take a right before you see a sign for the national park. This road turns into Skate Creek Rd. It's a dirt road on the left.  Go right at an over pass between mile marker 12 and 14. Drive all the way up. Take a right at the first fork then stay to the left. You will need a 4x4 vehicle. 4x4 vans will not make it.",Between Ashford and Packwood off Skate Creek Rd. (this was a dirt road off of skate creek rd but the sign on this dirt rd also said skate creek rd.,Skate Creek RD,"Spring of 2005 mid after noon we drove up to a place we call the Oasis (a pond on the top of one of the foot hills on Skate Creek (Mt. Rainier but I believe it is GP national forest) its a ways up there and some 4x4'n is needed to get there.   When we got there and got out of the car you could hear a noise that sounded kind of like a monkey noise....ooh ooh ooh....it was repetative and I didnt think anything of it at first. So we hike up the hill side to where the noise is coming from and where the pond is, and we discovered a foot print while the whole time still hearing this noise, ooh ooh ooh, short and sharp but monkey like.   At one point we felt as if it ran right up behind us as if to scare us but we didnt hear any brush crashing or anything but the noise got closer and you could actually like hear it in the back of his throat.   Nothing real exciting or more than circumstantial but when we returned again a few months later the noise was not there.",,"Myself, boyfriend, and boyfriends father.  They are the ones that took me there stating they believe it is a homey spot of bigfoots and the heard the same monkey sound the first time they went up.",Just off of your website.,mostly sunny day in the mid after noon.,Forest where at top of hill there is a pond and there are little signs stapled to trees where they state they are doing geological studies on the pond.,
53045,2431,12689,2005,Fall,September,WA,Mason County,"On the road to Jarrel Cove state park.  It was on a left hand bend in the road, I'm not sure as to the exact place.","Shelton, Hartstene Island Specifically",Highway 3,"Myself and my cousin were driving to Jarrel Cove on Hartstene Island for a 2 day fishing trip.  We had left my apartment in Renton about 7:30pm and headed south to Highway 3 and Hartstene.  We encountered 2 deer by the road side.  We crossed the bridge to Hartstene and made the left hand turn to the campsite.  I took a wrong turn and had to head back to the camp turn off when I saw a large, black, hairy biped just at the range of my truck's highbeams.  It never turned to face us.  I have seen many bears in the wild and this wasn't any bear. It had a somewhat pointed head, immense shoulders, longish arms.  I would say that it's gate was relaxed but very powerful.  The color in the headlights was a darkish brown, pepper.  I can remember seeing some of the musculature of the upper body.  It's amazing to me that I was able to analyze this all in a few seconds.  It moved up the hillside from the road.  I would say the creature was at least 2.5 meters tall.    My cousin really didnt see it and thought I was joking. We went to the camp and set up even in the darkness.  I was still trying to put it all together when I heard the calls.  My cousin was asleep.  I didn't feel threatened, I have never heard a call like that in the wild.  I grew up in Idaho and have heard screaming cougars, owls, elk and other creatures, but this was distinctive.  I am certain that no human could make this call.  I will consider myself very fortunate to see another one of these creatures.","After we settled in for the night at the campsite, I heard many distinctive calls very similar to the calls you have here on the website.  I have very good hearing and sense of smell, didn't smell a pungent odor but I could tell a creature was close, about 1/8 mile from our camp S by SW.  There were 4 or 5 distinct whoophowls and then nothing for the rest of the night.",My cousin was with me but he really didn't see it.,,Breif sighting: Around 9 to 10pm Calls heard: Between 1:30 to 2am,"Clear, cool.  Pine forest and narrow two lane road. A hillside was on the right hand side of the road and had about a 15% grade to it.",26
53041,2441,12803,1981,Spring,June,WA,Lewis County,about 10 miles east of lewis river trail,cougar,FR90,"In the spring of 1981 me and my family were camping up the Lewis river.We were out on a bush wack hike{not on a trail} we came across a large foot print on the edge of a creek.We keep it to our selves for all these years until I heard about your web site.I also was hunting out side Packwood Wa in oct 1999 and heard an incredible sound I have never heard before,It was so loud and the woods went silent when it was done.",,5,,mid morning,"forest ,creek bottom","June 1, 1981"
