,id,YEAR,SEASON,MONTH,STATE,COUNTY,LOCATION DETAILS,NEAREST TOWN,NEAREST ROAD,OBSERVED,ALSO NOTICED,OTHER WITNESSES,OTHER STORIES,TIME AND CONDITIONS,ENVIRONMENT,DATE
1737,7299,2001,Spring,May,CA,Tuolumne County,"My home is located on Nile River Drive, Upper Crystal Falls. Major cross street, Longeway, Middlecamp road.","Twain Harte, Ca.",Longeway Road,"May 15th, 2001  My wife and I recently relocated to Sonora from San Jose Ca. I live in the vicinity of Nile River Drive. My back yard is open to the forest before you get to Comstock Ranch. Well my wife and I were just finishing up dinner. The sun had just set and I decided to let my 2 small dogs off the deck and let them run around outside. About 10 minutes while I was at the back of the house, I heard this indescribable scream. I told my wife to let the dogs in as I could hear through an open window the rustling around, one of my dogs was barking...I ran to open the sliding glass door...only one dog made it back in. The other one never came home. I contacted DFG and notified them of the screams that I heard. I still hear them every once in a while coming from the back of my home that leads to the forest. I do not let my dogs outside at night any longer.",My dog will not make a peep if she hears or smells anything that resenbles that night she was almost dinner. She will act very scared and that is not like her any other time.,Wife. My neighbor across the way has heard the same screams.,None that I have heard. DFG said it may have been a mountain lion. I have never heard a moutain lion make noise but it did not sound human. ,"It was a dark night, hardly any moon. It was pleasently warm that evening.","Heavy pines and ceders, some old oaks, lots of natural follage, side of a mountain, 2 miles from Big Hill Road.",15
1741,7331,2003,Fall,October,CA,Placer County,"From Foresthill follow the signs to the lake, roughly 30 miles to the reservoir.",Foresthill,"Forestry road, backside of French Meadows reservoir.","Me and my fishing buddy went camping at French Meadows reservoir to get in the last days of the season.  In the campground we were alone and everything was shut down, nighttime temps were 32 and 29 the second night.  We were in the last campground on a dirt road a mile east of the lake.  Very few hunters were in the area because its a game refuge and no other fishermen were in the area.  We got in camp around 9pm because the fishing was great and it took time to clean our fish.  As soon as we got there i gave out my whoop whoop whoop whoop, hoping to hear a return call.  This went on every hour and my buddy all the while half cracking up looking at me like Im nuts. At 1am my buddy was asleep in the sack [his Cherokee].  At 1:30am, I let out my last calls, you could here the echoes for 3 to 4 second's afterward.  10 second's after my call I got a woooraa back.  I was shocked to get my first return call ever, it sounded to be a good 300 to 500 yards out and with a two D-cell flashlight, Ii was not going to investigate.  The direction the sound came from there were no roads or camps.  I knocked on my buddys car and got him up hoping he had heard it but all he said he heard was me.  From now on I will take a recorder.  Ive been hunting fishing and hiking all my life and that was the only time I heard this sound. It was not a coyote, a cat or an owl [I know them well].  In my heart I believe it was either a person or a bigfoot.  The remote area from which the sound came from tends to make me believe the latter.",,"Just me, my friend had turned in. I was just staying warm next to the fire beforehand.",,"1:30 am, 3/4 moon, no camp lights, just coals in the fire pit. Clear night, unseasonably warm in the day, 32 degrees that night. ",Pine forest ,14'th
1742,7334,93/95,Spring,April,CA,Monterey County,"THIS LOCATION IS HEAVELY USED BY THE PUBLIC DURING SUMMER MONTHS. IS JUST INSIDE THE LOS PADRES NATIONAL FOREST. A NATURAL RIVER RUNS THROUGH NARROW STEEP CANYONS. AREA IS COVERED WITH HEAVY OAK TREES, POISON OAK, BRUSH CHAPPAREL. AREA HAS MAN-MADE DAMN AND ONE NATURAL LAKE (ABBOTTE LAKES AREA) TWO LARGE CAMPGROUNDS THAT SIT NEXT TO THE LAKES AREA. A PICNIC AREA SITS .5 MILE DOWN THE ROAD FROM THE TWO CAMPGROUNDS.",GREENFIELD,ARROYO SECO RD,"This incident took place early April 1993. I was working for the US Forest Service on the Monterey Ranger District (Arroyo Seco Station). One the first things we had to do before the day began was go on a 2-mile fitness run. I dont remember the specific day. I began my run about 8:30 am about 3/4 of the way through the run I began to fall behind the crew. I came to area known as the Abbott lakes area. I stopped to catch my breath. I then heard a noise off to my left on the hillside. The hillside was covered with oak trees, poison oak and thick brush.  The side of the hill was shaded from the sun so I had really looked hard to see what was hearing. I noticed what appeared to a man walking up the hill about 20 feet in front of me. I then realized that this was to tall and to wide to be a person. It was about 8 feet tall. It stopped, turned its head and stared back at me for about 30 seconds. When it turned the whole upper body turned with head. I could not see its face because of the shade. It turned and walked up the hill. I ran back to the station knowing what I seen was not human.  Later that day I was with my supervisor alone and I asked him if he ever seen anything weird near the lakes or the bone yard (trash area). He looked at me and said ""oh you seen it to"" he later went on to tell that other members of forest service seen it to. He states that the season prior that one employee said he seen close up and it was covered with hair. I just blew it off. A month later I was placed on the night shift with one other person.  One of the things was to check the bone yard area for campers. One evening we drove into the bone yard and about 30 feet in front of us was a dark, 8-foot thing walking away from our vehicle.  I did not say anything to my partner until we drove out of the area. She turned to me and said, ""Did you see that?"" I then asked her what the hell is it. She told me she had seen several times in past.  That was the last time I seen it that season.  The 1995 fire season came around and due to budget problems only 3 people were on for the season. This made me nervous because this meant I would work alone 3 days a week. I avoided the bone yard area at all cost when I worked alone.  Halfway though the season a coworker and myself drove into the bone yard area to pick a picnic table.  My partner had a bad habit of wanting to catch a wild turkey for pet so as we drove up he took off running after a turkey that was about 40 feet from our truck. I did not see the turkey once I got off the truck but ran in the direction that my partner was running in.  As I got closer I realized that this was not a turkey we were chasing. As I got a better look at it I realized what I was looking at I only seen the upper body of it because it was walking down a slope. It had turtle shaped head and what appeared to be long tail coming from it. It moved at very fast pace away from us. I backed off, as did my partner.  I took notice of noise that it made as it walked away. I lost sight of it but I could still hear it running through the brush. That was my last season at this station. I havent been back since.",Yes during one of the sightings later that night multiple campers complained of a high pitch screaming in the area.,Several other Forest Service employees.,,"I saw it once in the morning, once during early evening, and once mid-afternoon.",Heavy brush area and oak trees.,APRIL
1743,7336,1983,Summer,July,CA,Alpine County,"Hwy 88 to Blue Lakes Rd.,  I think.  Its been 17 years since I've been there.",Woodsford,Hwy 88,"While walking cross-country, looking for possible home sites from the early 19th and late 18 hundreds, I was walking the base of a small ridge between two lakes Lower Blue and Twin Lake. On the ridge side it was mostly open forest on the Twin Lake side the brush got thicker. As I was walking I heard a loud two tone whistle [low to high pitch] that was not a bird or any animal I know. The sound came from ground level and behind me to my left. The whistle was loud and sounded in my opinion from a mammal. I turned and called out thinking a hunter [in a place he should not have been][no hunting zone] but no one answered, I whistled back but nothing called. Wondering what it was, I investigated the area 'till i could get no farther, the brush was too thick. I was standing within 10 feet from where the whistle came from, nothing in sight not in the trees on the ground not anywhere, no bird's where flying and no animals in sight either. It was a little spooky but at the time i was cross-country running almost 5 miles a day at 8000 feet as well as boxing training and being a good bow hunter nothing scared me at that time. I was 20 with a good outdoor understanding and other people were the only things that scared me. I remember after I got back to the cabin and asked my Dad what animal out there [if he knew] that whistled like us but much louder, he didnt know of any.    I did not think anything about bigfoot even though I was interested in the subject, I thought they were all up north in the Shasta and up area. I did not know that BF made whistling sounds until I went through the BFRO website. ","I used to look across a valley and ridge at Meadow Lake and saw a lush little plateau on the opposing ridge and thought if I was a BF and I was in these parts this would be a good spot to be because of the lush vegetation [looked like a spring close] and the view to see if anyone was coming. I never even thought that there was a chance they would have been in these parts of the sierra. Call it a gut feeling but I get them right quite often, I sat quietly on my side of the ridge once and watched a coyote in the valley below me.  He came up the hill to within 3 feet of me and stopped.  I stood and went ""aaahhh"", I've never seen one run so fast lol.  [Sorry I know gut feelings don't count, but this spot is so remote I doubt anyone has ever been there.   ","Just me, checking things out.","Just at Lost Lakes, from the BFRO website.","Mid-morning, clear skys ","Pine forest, some open, some very thick underbrush.",
1744,7352,1977,Summer,July,CA,Trinity County,"Tracks in Trinity Alps, near Eagle Creek Bench area on "" Old Pacific Crest Trail  Route."" Sounds heard near Blood Run area.", Sawyer's Bar,unknown,"Heard what I thought was music and low voices coming from low hills on each side of creek. One low voice or sound on one side, then another on the opposide side of creek. I was cooking diiner with my small optimus stove and had camp set. Sound was so strange that picked up camp and hiked down the the moonlit trail. (All the time I felt I was hearing limps and sticks break above me on ridge line. I was in the middle of my thru hike of the Pacific Crest Trail and had been outhiking since April 2nd. I have never heard these sounds in all my hiking or hunting days past or present. In the morning, I stopped at a side creek to fill my water bottles. I walked above the trail for a deeper pool to dip bottles in and found where something had crossed and slid vegation going down and then up. Next to creek was a large footprint in small sand bar. The other prints were not as clea, but I wish I would have taken there pics as well. I haven't told many folks about the sounds or print till the last few years. Good luck with your research. I feel that at least in 1977, Bigfoot was still alive and well. (I believe there were two comunicating across the creek. Tracks were found in Eagle Creek Bench area which has since suffered a few good burns.",Low voice like sounds. (Deep low voices),No other witnesses. Sorry!,"No, Sorry","Near dusk, clear weather with good moon.",Tracks in thick cedar boggy area in creek bottom. Sounds were coming from opposing ridgetops near bloody run.,29th
1747,7363,2002,Summer,August,CA,Sierra County,We were in Ramshorn Campground in the upper campsite area.,Downieville,Highway 49,"We had driven from the San Francisco Bay Area to Sierra County for a camping trip.  When we arrived, our usual campground was full and we went to a less popular campground which was a few miles further down the road.  By the time we arrived it was already dark and we hurried to set up camp for the night.   Our intention was to camp at this campground for the night and look around the surrounding area for a better site closer to the water the next morning.  Since we has children with us they had to go to the bathroom and my friend (who had spent his youth camping in the area and this campground) took the girls to the closest outhouse while my husband and I started setting up camp.  They came back and everyone was talking about how horrible the area around the outhouse smelled and we laughed saying it was close to end of season and about time to clean out the vault toilets.  Soon we finished setting up tents and unpacking the few things we would need for the night.  I decided I should visit the outhouse and my daughter (who had already been with our friend) said she would show me the way.  We set off down the trail and my husband decided to join us.  We walked down the trail slowly because it was very dark and I had only brought a small flashlight that I always keep in the jeep since we hadn't fully unpacked.  The outhouse was located in an area that was about 10 feet below the trail from the campground.  My daughter finally found the trail down and I flashed my light down into this gullky to look for the outhouse.  I found the outhouse and also found two red eyes looking back at me.  The eyes which were reflected in my flashlight seemed to crouch down.  I  decided that I didn't need to go to the bathroom after all andmade the decision to walk back to camp rather rapidly.  When we got back to camp my husband and friend decided to go back and look around with a better flashlight but found nother although both noticed that it didn't smell as bad as it had before.  The next morning I got up and decided I had to go to the bathroom no matter what was there!  When  got to the outhouse I realized that the eyes I saw reflected back at me had stood about 7 to 8 feet off the ground.  Also on further investigation we found some small trees uprooted and pushed over in the outhouse area.  And most important of all, the smell was gone.",,"Three people actually saw the red eyes, my husband, myself and my daughter.  Three others smelled the foul odor and saw the uprooted and knocked over small treets.",In eary August we had had another strange encounter at a different campground in the area.  We were camping with many friends and we (the group) were in several different campsites.  One  group arrived later than the rest of us and  set up in a campsite adjacent to ours.  That night something raided their campsite and made off with a large closed with a lid  tupperware bowl of trailmix and a large pork loin roast.  The next morning we found behind their campsite on a small incline the tupperware bowl with the lid placed next to it (no damage at all to either piece of tuppereware)  and a large pile of scat that did not look like any bear scat I had ever seen before due to its size (huge!!) and shape.  . ,The encounter took place around 10pm.  It was pitch black due to the large trees and deserted nature of the area.,"Pine and oak trees.  Deserted campground, there were only two other groups camping at this campground and they were both at the bottom area.",30
1758,7416,2003,Summer,July,CA,Butte County,Between Oroville and Forbestown.  Just below [on the Oroville side of] Robinson Mill Rd.,Forbestown,Laporte Rd.,"I am writing this for a friend who doesn't have internet access.  Last summer, he was driving towards Oroville.  He had just passed a place called Robinson Mill and came around a corner when right in front of him at about 100ft, something was crossing the road.  It was walking on two legs and was covered in a medium brown hair from head to toe.  One thing noticed was it's height; about 5 ft tall.  It's build was long and thin for it's height.  The hair hanging from its arms seemed to be long.  It was very fast as it ran.  At first sighting, the being was walking across the road at leisurely pace but upon sensing my friend's approach, broke into what he described as a very hurried and incredibly fast pace.  He said that it literally leapt into the brush alongside the road at a dead run.  It never looked in the direction of my friend's approach.  It was right in the mid day's sun and was a medium dark brown.  It may have been a younger one or something because it seems in most sightings they are very tall.    Beginning of sighting was about a 100ft distance.  Distance was 35 to 40 ft at the last part of sighting.  He saw it leap into the Manzinita brush from only about 40 ft away!! ",He said that it was very thin with long skinny arms and also the long hair hanging from arms.  He said it had facial hair.,No,"Yes, have heard about several sightings in the area.","Middle of the Day.  On a long downhill.  Maybe since he was coasting downhill is the reason he got so close before being detected by ""it""?","Mountains, foothills.",
1767,7452,2003,Fall,November,CA,Humboldt County,"Aikens Creek campground, immediately West of Bluff Creek on HWY 96",Orleans,96,"Last Sunday (November 16, 2003) My friend, my dog and I traveled from Portland, OR to Northern California for some late season backpacking. We stopped at the Aikens Creek campground (West of Orleans, CA and just west of Bluff Creek on HWY 96) at approximately 6:00pm, as it was too late to hike in anywhere that evening and the Six Rivers NF website listed it as one of the campgrounds open through November. As we neared the pay station a sign deferred us to render payment directly to the campground host, and as we approached the host's site it became clear that the site was vacant with just a few small items left behind. So, we took the liberty to drive in and explore the portion of the campground that was open. Driving near the Southern edge (nearest to the Klamath river) we smelled a pervasive ""skunky"" odor, but thought nothing of it at the time.  Eventually we pulled into a campsite (second or third from the entrance at the foot of a large hill). Our intent was to get out of the pickup (leaving the dog inside), get on our rain gear and set up the tent as quickly as possible, as it was already quite dark and raining. Just after donning my rain gear, however, I heard some distinct ""hoots"" from within the woodline which were decidedly not owl-like nor quite human-like, but could be most accurately likened to those of an ape. I asked my friend if he had heard that, but he had not, as he had two hoods pulled up over his head. I quickly scanned the woodline with my head lamp, seeing nothing out of the ordinary through the dark and rain. We began setting-up the tent when I heard it again. ""There."" I said, ""Did you hear it that time?""  ""No."" he responded, but he did pull his hoods down. Shortly thereafter we both heard another set of ""hoots"".  ""What do you think that is?"" he asked.  I have had a casual interest in the Sasquatch phenomenon since childhood and find its existence to be scientifically plausible. I am also quite comfortable in the wilderness, having spent much of my life in the outdoors from Alaska to Costa Rica professionally, academically and recreationally, but I never honestly expected to experience anything first-hand with such a creature. So, being educated and reasonable, I declined to respond.  As we continued, we began hearing other noises. First we heard ""whacking"" sounds of wood against wood (more probably stick against tree). Perceiving this ""hooting"" and ""whacking"" as a less-than-friendly display, we became a little nervous and contemplated leaving; but curiousity and the dread of packing up, moving to an unplanned location and reconstructing in the dark, while already soaked; compelled us to stay. So, we continued constructing the tent between periodic scans of the area.  The ""whacking"" continued and we noticed it would come from different locations in short sequence (too short for one individual to move from point A to point B). Again my friend asked: ""What do you think that is?""  I gave the guarded response: ""I'll tell you what, I've spent alot of time in the woods and observed alot  of animals, but I've never heard anything like this."" I assume he read through the evasion to the meaning of my response, given the ubiquitous usage of the word ""Bigfoot"" , and images thereof, in the surrounding communities and some casual conversation we had had on the subject during our drive.  Shortly before turning in for the evening, I heard a short series of what sounded like heavy footsteps on the rocky terrain of the hillside, in the rhythm of a two-legged walk. Turn in we did, however, with senses piqued and dog tucked securely within the tent. We slept intermittently and restlessly hearing sounds throughout the night.  Most frequently we heard the ""whacking""; most regularly a rather hollow-sounding report originating from a point some distance to our Northeast and up the hill. We would, however, periodically hear closer and clearer ""whacks"" from varying locacations to our general Southeast; once hearing a disturbingly close and firm ""whack"" from our South/Southwest.   I awoke, once, at approximately 3:00am and heard distinct, single-note ""whistles"" from the general direction of the distant, hollow ""whacking"" which were, again, decidedly unbirdlike, yet not quite human. Soon thereafter we were all startled upright by a ""crack"" followed by loud rockslide, terminating distressingly close to our location. My friend informed me he had heard two other, smaller slides earlier that night. After all was quiet for some time (except the perpetual ""whacking"") we eventually slumbered down again, awakening to sunlight and (finally) quiet surroundings.  In the daylight we observed that the hillside was quite steep, rocky and slightly parabolic in shape, and the rock slide ended up in our South adjacent campsite, leading us to conclude that: 1. Inspection of the hillside would be dangerous and turn up little or nothing in the way of footprints; 2. Sounds could have originated from well up the hill and carried down the ""amphitheater"" hillside; 3. If it were people playing a prank, they must be extremely dedicated to risk their lives negotiating that hill in the dark and rain and to wait in the woods any given night for the off-chance campers might come by in November; 4. Though rock slides may naturally occur there on occasion, they certainly must not occur on the order of three a night or someone would implement measures to ensure no one camp in that location; 5. Maybe that ""skunky"" smell we had encountered just previously was not a skunk.  At any rate we drove on the next morning to the Willow Creek Ranger's Office (making no mention of the events) to inquire as to open trails. We were instructed that much of the back country road system (and corresponding trails) was closed due to the Port-Orford Cedar Root disease, but that we could drive into the Horse Linto Creek area and hike along the closed roads. We took that advice and spent the next five nights uneventfully.  We decided to return to Aikens Creek for the final night (Saturday, Nevember 22)  to take advantage of the open, flat space to dry wet equipment and see if we could observe anything further. We picked an open site midway between the foot of the hill and the highway, layed out equipment for drying, then decided to day-hike somewhere nearby. We drove up Bluff Creek Road to its closure at the road junction to Fish Lake then hiked 1.6 miles down that road.  I payed close attention to the steep clay roadsides, and once noticed what could have been a partial footprint of a large, humanlike foot from the heel (about 4"" in width) to a point about 6"" forward (and perceivably midway along the length of the foot. I found, however, no other footprints or enough context to draw any real conclusion about the impression.  That night, back at the campground, we kept a large campfire and kept some down and dead cedar boughs nearby to throw in for quick brightness if needed. At one point , my dog suddenly barked and charged towards the trees at the edge of the campground just  below the freeway. I halted him and went to investigate, but found nothing unusual. Though better prepared we neither saw nor heard anything further that night. We returned home however with a new awareness.",As per above description,One friend,Much Bigfoot activity documented historically throughout that area.,6:00pm - daylight,"Mountainous, steep, rocky terrain. Specifically steep hillside with fir and cedar",16
1777,7504,2003,Spring,May,CA,Humboldt County,"Going north on 101, take 254, and once you turn onto 254, off to the left, I pulled in and parked.",Myers Flat,Highway 101,"Well this was just supposed to be a fishing trip to see what the area had to offer.  I had been coming to this area for the past couple of months and started to learn it a little better.  So I decided to go exploring for some fishing holes.  All I had with me at the time was a fishing rod and a GPS receiver so I wouldnt get lost.    I parked the truck and started out on foot. I had talked to two local fishermen about what was in these rivers, and what to use. Im from the south and this area was like a new world.  So I made my way down to the river along the side of the bank.  At times the going got a little hard but I managed.  I tried several places but the water was moving too fast, so I thought that I would try and find a slack part of the river, where the flow was a little slower.  Now these woods are a lot different than the ones I was used to, so I was a little excited about this new area.   I had been walking for maybe 45 minutes and covered maybe two miles when I saw something in the distance.  At first I thought that it was just a stump, seeing that I had left my glasses in the truck.  Now my vision isnt that bad, but I still need them for driving.  But, I started feeling a little uneasy due to an earlier encounter, plus it might have been a bear.   But, being the idiot that I am, I had to get closer.  I got to within about 75 yards, because I was using the tree line as cover. That was as close as I wanted to get.  You could say that my heart was beating out of my chest it was like I had buck fever.  Well now that I was within good sight of the creature. It was easy to see what it was.  It finally stood up, and I didnt know up until that point how big it really was.    Now, I had a roommate who was 6'7 and this creature would have easily stood over him.  At the best guess I would have to say that it was 7'6 tall, and it had to weigh over 400lbs.  It finally turned to me and made me out in a second, but when it turned, it didnt run away instantly.  It just stood there.  I guess it was trying to see what I was. We must have looked at each other for 10 seconds or so, but it felt like 10 minutes. And in that time all I could see was that the creature had dark reddish brown hair, and the arms easily hung down to the creatures knees.   But within an instant something spooked it. The creature turned and looked down river, and it just took off.  Now the ground that this thing covered was amazing.  I didnt move for a good bit, because I was in shock.  After the creature had left, I did the same, once I could get my feet working again.  ",The only thing that i found unusual was when the creature was spooked. I didnt hear or see anything else but the two of us.,just one,No,"It was early afternoon, and the light conditions where poor due to the rain.","Slack part of a creek, with thick woods all around.",
1788,7555,1977,Spring,August,CA,Shasta County,We went there in a boat I think it was on a north bank were the boat dock was.  I think I could find it if I went back there but it's hard to explain.  I think the cove was in a northern direction too.,Antler Camp,"I-5, North bound side","My family and I went to lake Shasta CA. To camp at antler camp ground.  While we were there, we went to this cove on the lake and had a picnic.  After the picnic, me and my cousin jimmy and my little sister Kim stayed in the cove to go fishing while everybody else went back out to the boat dock.  After awhile, my sister wanted to go out to the dock to be with my older sister, so I put her on my shoulders and started walking.  About 1/4 mile half way out I started hearing something walking in the woods. I stopped, it stopped. I started, it started. So I kept walking. I dropped my sister off and started heading back.  A little way in and I started hearing the footsteps again. Now they were closer and I could see something in the shadows. As I kept walking, it kept getting closer. I stopped again and all of a sudden, it came crashing through the brush straight for me. I just stood there, looking at it then it stopped about 5 feet from me and I could plainly see what was standing there, but I couldnt believe what I was seeing. I remember noticing it had big reddish brown eyes that seemed to stare right through me.  It gave me the creeps. Then I noticed it had big muscular arms and huge hands. Then I looked down and saw big feet. Then I started scanning up and saw some big calves and thighs. It was definitely a male and was dark brownish black in color. I just stood there looking at him and then I said to my cousin jimmy, who was about 10 to 15 feet away from me, look and pointed at it. He took one look and screamed, and then he jumped into the lake.  I gave a yell and did the same. We swam out into the center of the cove and the creature stood there watching us. My cousin swam to the dock but I stayed. I was totally curious as to what it was but scared at the same time. Then it looked toward the back of the cove like it was startled and it ran up at least a 40 to 45% hill through brush and trees.  It covered at least a couple hundred feet in what seemed like 2 or 3 seconds and was gone.   I heard and saw some people coming down a trail from a cabin up on the hill. When they got close, I asked them if they ever heard of bigfoot.  They said, yeah, they come around are cabin once in a while.  ",Not really.,Just me and my cousin were there. He lives in Kentucky so I never really talked to him after the incident.,,It was about 1pm sunny clear day.  The lake was down that year because of drought.  The brush would normally be under water.,"It was undergrowth, tall oak saplings and pine forest up the hill from the water; hills on both sides of the cove boat dock. At the entrance of cove, if you were facing into the cove, the sighting was on the left and the cabin was on the right at the top of the hill.",
1802,7637,2002,Fall,October,CA,Siskiyou County,,Yreka ,,"Last year when I was 12  I saw a Creature. It was about  9:45 pm. It all started when I was taking my dog outback to go to the bathroom. When I got outside I felt like I was being watched but ignored the feeling untill the hair on the back of my neck stood up. I became very nervous when my dog stood still, looked away from the house, and growled. We lived on nine acres in a rural mountain setting near a river and at first I thought it might be a cougar or a bear in the dark. Then I shined the flashlight in the direction the dog was staring, and I saw two large hairy animals go over the fence. The larger one was about seven and a half feet tall and was a female.  She just stepped over the five foot tall barbed wire and wood post fence like an athelete.  The smaller animal was about five and a half feet tall and it used a fence post to help it leap over the fence. They both had yellow eyes. Like a cat. Their hair color ranged from a very dark to a  light brown. They both had an ape like head.  Then I ran back inside with my dog and told my mom and dad that I saw two Bigfoots. At first I was really scared. Then my parents went after it,not to hurt it but to see it up close. I wanted to go but they woudn't let me.(BUMMER!) When they got back they told me what they saw and what happend. My dad said when he shone the flashlight on the momma he said she just stood there an stared at him. My mom said once she and dad passed the gate toward the acerage she smelt a wet-dog,musty smell.The wierd thing is that the smaller bigfoot was nowhere in sight..The momma bigfoot must have hidden the younger bigfoot either behind her or by the river.My mom said she kept hearing noises behind her.The next day me,mom,and my dad saw huge tracks in the grass.  ","Yes, I noticed some grass that was laying down,but there wasn't any deer in the area. The grass that was down was too big of a place to be any deer.",Most of My family (two other people),"My mom and I  found some hair near a creek at another time ,but it didn't look like any animal hair we had ever seen before.",It was about 9:45 pm. It was clear with a full moon.,"River,mountains,high grass.",18
1814,7676,1978,Fall,September,CA,Tuolumne County,We were camped at the horse corral near Groundhog Meadow near Herring Creek Reservoir.,Strawberry,Highway 108,"My son and I arrived at the horse corral near Groundhog Meadow late on a Friday night in early September 1978.  We spent all Saturday building two deer blinds with the intent on coming back to the area to hunt later that year.  The area, at that time, didn't receive very much recreational activity, and we saw no one else while we were camping.  Saturday night, three strange incidences occurred.  First, early in the evening, my son and I heard two screams.  The first scream was located near the horse corral.  The scream sounded like it was from something very large.  It was very loud and low-pitched, sort of like a very large angry man.  I have heard mountain lions in the past, since I have hunted all my life, and this was nothing like that.  A few minutes later, we heard another scream, just like the first, but it came from the east, like from the Emigrant Wilderness.  We both acknowledged that we had heard the screams, but neither of us knew what it was.  My son checked the horse corral and didn't see anything.  Later that evening, as we were sitting around the campfire, I noticed a pair of red eyes looking at me from near the horse corral.  The area where the eyes were was in total darkness and I do not know if the firelight could reach that far in order to cause the eyes to reflect red.  At first, I just thought it was a deer or other animal, but then it dawned on me that the eyes were at least six to seven feet off the ground.  Since I knew the area very well, I knew that there were no trees or other objects in that area for something, like an owl, to stand on.  After it watched me for about 30 minutes, I asked my son if he also saw it.  He did.  He and I continued to be watched for another 30 minutes (one hour total).  After I briefly looked away and I turned back, the eyes were gone.  The next morning, both my son and I checked the area and confirmed that no trees or other objects were present for an animal to stand on and appear to be seven feet tall.  The last incident happened the same night when we went to my camper to eat dinner and go to bed.  The camper was on the bed of my utility truck, and was at least five feet off the ground.  As we were making sandwiches, we both heard and felt a loud bang or thud on the side of the camper (on the front driver's side of the camper).  The camper was hit so hard, it shook the whole truck.  We grabbed our flashlights and immediately went outside, expecting to see either a tree limb or a very dazed deer.  We saw nothing.  We even circled the camper and didn't see anything.  We both then realized that whatever had hit the camper had to be at least five feet tall and could not have been a deer running blindly in the dark.  We thought that all the incidences were strange, but nothing else happened that night and we went home the next day.  We returned to the area to hunt later on that year.","Nothing, other than noted.","Yes one, my son.",No.,All the incidences happened on Saturday night.,This was near a meadow in the Stanislaus National Forest.,
1818,7702,2001,Summer,September,CA,Del Norte County,"Drive to the end of Blakes road and go over the Dike down onto the river bar.  Go left at the bottom of the hill and drive straight up to the river.  It was directly across the river, which is not accessible from car on this side of the river.  If you go on the other side of the river, it's behind a locked gate on Simpson Logging Co. This are is","Klamath, California",Blake Rd. ,"It was the last weekend of September during the fall salmon run of fishing season on the lower Klamath River 2001.    It was the end of summer, the river was extremely low and I'd just finished cleaning my salmon. It was about 10 oclock at night and I drove up the river to Blake's river bar.  This is where the road ends. We were sitting in my truck with the windows down when we heard a sound that I'd never heard on the river or anywhere for that matter.  My attention was immediately taken as we could hear an extremely deep howling sound that sounded  something like a whoooooaaahhhh.  I was a little freaked out because I have never heard anything like this.  I remember trying to put a body with the sound and not coming up with anything.  My friend and I looked at eachother and said ""what the hell is that?"" The hair was raised on the back of my neck and I felt very fearful, even though I knew the thing was across the river.    We waited and didn't say anything and within about 3 seconds we heard the same sound again.  This time it went whooooooahhhhh, whoooooahhhhh, whoooooahhhh, three times. It was a very deep almost like a moaning sound.    Immediately after the sound stopped I heard the same noise, except this one sounded like it was coming from up around the corner, about a half mile, and on the other side of what is called Turup flat.  This one sounded more faint because is was coming from on the other side of this densely wooded area where the river bends.    It seemed clear to us that they were calling back and forth to one another.  The one on the top of the river called back only twice and the one across the river sounded off about 4 times.  This entire thing only took about 20 seconds and then it was done.    I couldn't really explain what I was thinking or feeling after they stopped but I was very shaken and just sat there for about thirty seconds waiting to see if there was going to be any more sounds.  I turned my lights on after I thought that it was over and couldn't see anything because the fog was to dense.  We were both sure that we had never heard an animal like this before.  Between the two of us we have about 60 years of night fishing and hunting in this area and this was a first.  We both talked about it and felt that whatever it was that they could have come in from either side of the river because the river was so low that it would have been easy to wade across and there wasn't littel traffic in the area.  The river was also very warm and it was also full of 30-50 pound salmon that were heading up the river. It was a great time to fish if that's what they doing. ",Not that I can recall.  I just know that I've spent the good part of my life gill net fishing at night on this river and I've heard everything from mountain lions to bear and coyotes and this wasn't anyone of those things and even though.  Since this has happened I'm very interested in pursuing this thing and getting more proof if possible.  I still spend allot of time on the river at night in my jet boat when I hunt and fish and I'm hoping to have another encounter.  I also spend allot of time in the surrounding areas fishing and hiking and I hope that something will give me more proof that these things exist.  ,"2,  We were just sitting in the truck for about 2-3 minutes and listening to the river and talking when we first heard it.",There have been at least 5 reports in the klamath area over the last ten years.  I know that there was a report in Hunter Creek in the mid to early 90s by some kids and some adults.  ,"about 10:00 p.m., There was allot of fog on the river that night.  It was a relatively warm day, somewhere in the 80s.  It was probably in the low 60s that evening.",Heavily wooded area along the Klamath River.  They both seemed to be hanging along the tree line of the Turup Flat area. I felt that it might have come from across the river on the Starwein flat area because this is closed off and there's no access into this area.  This is also about 4-5 miles down from Blue Creek drainage and lots of open wilderness area.  ,"26th, or 27th"
